Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-06 22:00:00;3;Monday;1998-04-06;1998;4;Spring;6;22:00:00;22;0;15;0;False
1998-04-06 23:00:00;3;Monday;1998-04-06;1998;4;Spring;6;23:00:00;23;0;15;0;False
1998-04-07 00:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;00:00:00;0;0;15;1;False
1998-04-07 01:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;01:00:00;1;0;15;1;False
1998-04-07 02:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;02:00:00;2;0;15;1;False
1998-04-07 03:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;03:00:00;3;0;15;1;False
1998-04-07 04:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;04:00:00;4;0;15;1;False
1998-04-07 05:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;05:00:00;5;0;15;1;False
1998-04-07 06:00:00;2;Tuesday;1998-04-07;1998;4;Spring;7;06:00:00;6;0;15;1;False
1998-04-07 07:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;07:00:00;7;0;15;1;False
1998-04-07 08:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;08:00:00;8;0;15;1;False
1998-04-07 09:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;09:00:00;9;0;15;1;False
1998-04-07 10:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;10:00:00;10;0;15;1;False
1998-04-07 11:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;11:00:00;11;0;15;1;False
1998-04-07 12:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;12:00:00;12;0;15;1;False
1998-04-07 13:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;13:00:00;13;0;15;1;False
1998-04-07 14:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;14:00:00;14;0;15;1;False
1998-04-07 15:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;15:00:00;15;0;15;1;False
1998-04-07 16:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;16:00:00;16;0;15;1;False
1998-04-07 17:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;17:00:00;17;0;15;1;False
1998-04-07 18:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;18:00:00;18;0;15;1;False
1998-04-07 19:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;19:00:00;19;0;15;1;False
1998-04-07 20:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;20:00:00;20;0;15;1;False
1998-04-07 21:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;21:00:00;21;0;15;1;False
1998-04-07 22:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;22:00:00;22;0;15;1;False
1998-04-07 23:00:00;3;Tuesday;1998-04-07;1998;4;Spring;7;23:00:00;23;0;15;1;False
1998-04-08 00:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;00:00:00;0;0;15;2;False
1998-04-08 01:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;01:00:00;1;0;15;2;False
1998-04-08 02:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;02:00:00;2;0;15;2;False
1998-04-08 03:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;03:00:00;3;0;15;2;False
1998-04-08 04:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;04:00:00;4;0;15;2;False
1998-04-08 05:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;05:00:00;5;0;15;2;False
1998-04-08 06:00:00;2;Wednesday;1998-04-08;1998;4;Spring;8;06:00:00;6;0;15;2;False
1998-04-08 07:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;07:00:00;7;0;15;2;False
1998-04-08 08:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;08:00:00;8;0;15;2;False
1998-04-08 09:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;09:00:00;9;0;15;2;False
1998-04-08 10:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;10:00:00;10;0;15;2;False
1998-04-08 11:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;11:00:00;11;0;15;2;False
1998-04-08 12:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;12:00:00;12;0;15;2;False
1998-04-08 13:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;13:00:00;13;0;15;2;False
1998-04-08 14:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;14:00:00;14;0;15;2;False
1998-04-08 15:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;15:00:00;15;0;15;2;False
1998-04-08 16:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;16:00:00;16;0;15;2;False
1998-04-08 17:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;17:00:00;17;0;15;2;False
1998-04-08 18:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;18:00:00;18;0;15;2;False
1998-04-08 19:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;19:00:00;19;0;15;2;False
1998-04-08 20:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;20:00:00;20;0;15;2;False
1998-04-08 21:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;21:00:00;21;0;15;2;False
1998-04-08 22:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;22:00:00;22;0;15;2;False
1998-04-08 23:00:00;3;Wednesday;1998-04-08;1998;4;Spring;8;23:00:00;23;0;15;2;False
1998-04-09 00:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;00:00:00;0;0;15;3;False
1998-04-09 01:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;01:00:00;1;0;15;3;False
1998-04-09 02:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;02:00:00;2;0;15;3;False
1998-04-09 03:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;03:00:00;3;0;15;3;False
1998-04-09 04:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;04:00:00;4;0;15;3;False
1998-04-09 05:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;05:00:00;5;0;15;3;False
1998-04-09 06:00:00;2;Thursday;1998-04-09;1998;4;Spring;9;06:00:00;6;0;15;3;False
1998-04-09 07:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;07:00:00;7;0;15;3;False
1998-04-09 08:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;08:00:00;8;0;15;3;False
1998-04-09 09:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;09:00:00;9;0;15;3;False
1998-04-09 10:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;10:00:00;10;0;15;3;False
1998-04-09 11:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;11:00:00;11;0;15;3;False
1998-04-09 12:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;12:00:00;12;0;15;3;False
1998-04-09 13:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;13:00:00;13;0;15;3;False
1998-04-09 14:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;14:00:00;14;0;15;3;False
1998-04-09 15:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;15:00:00;15;0;15;3;False
1998-04-09 16:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;16:00:00;16;0;15;3;False
1998-04-09 17:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;17:00:00;17;0;15;3;False
1998-04-09 18:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;18:00:00;18;0;15;3;False
1998-04-09 19:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;19:00:00;19;0;15;3;False
1998-04-09 20:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;20:00:00;20;0;15;3;False
1998-04-09 21:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;21:00:00;21;0;15;3;False
1998-04-09 22:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;22:00:00;22;0;15;3;False
1998-04-09 23:00:00;3;Thursday;1998-04-09;1998;4;Spring;9;23:00:00;23;0;15;3;False
1998-04-10 00:00:00;2;Friday;1998-04-10;1998;4;Spring;10;00:00:00;0;0;15;4;False
1998-04-10 01:00:00;2;Friday;1998-04-10;1998;4;Spring;10;01:00:00;1;0;15;4;False
1998-04-10 02:00:00;2;Friday;1998-04-10;1998;4;Spring;10;02:00:00;2;0;15;4;False
1998-04-10 03:00:00;2;Friday;1998-04-10;1998;4;Spring;10;03:00:00;3;0;15;4;False
1998-04-10 04:00:00;2;Friday;1998-04-10;1998;4;Spring;10;04:00:00;4;0;15;4;False
1998-04-10 05:00:00;2;Friday;1998-04-10;1998;4;Spring;10;05:00:00;5;0;15;4;False
1998-04-10 06:00:00;2;Friday;1998-04-10;1998;4;Spring;10;06:00:00;6;0;15;4;False
1998-04-10 07:00:00;2;Friday;1998-04-10;1998;4;Spring;10;07:00:00;7;0;15;4;False
1998-04-10 08:00:00;3;Friday;1998-04-10;1998;4;Spring;10;08:00:00;8;0;15;4;False
1998-04-10 09:00:00;3;Friday;1998-04-10;1998;4;Spring;10;09:00:00;9;0;15;4;False
1998-04-10 10:00:00;3;Friday;1998-04-10;1998;4;Spring;10;10:00:00;10;0;15;4;False
1998-04-10 11:00:00;3;Friday;1998-04-10;1998;4;Spring;10;11:00:00;11;0;15;4;False
1998-04-10 12:00:00;3;Friday;1998-04-10;1998;4;Spring;10;12:00:00;12;0;15;4;False
1998-04-10 13:00:00;3;Friday;1998-04-10;1998;4;Spring;10;13:00:00;13;0;15;4;False
1998-04-10 14:00:00;3;Friday;1998-04-10;1998;4;Spring;10;14:00:00;14;0;15;4;False
1998-04-10 15:00:00;3;Friday;1998-04-10;1998;4;Spring;10;15:00:00;15;0;15;4;False
1998-04-10 16:00:00;3;Friday;1998-04-10;1998;4;Spring;10;16:00:00;16;0;15;4;False
1998-04-10 17:00:00;3;Friday;1998-04-10;1998;4;Spring;10;17:00:00;17;0;15;4;False
1998-04-10 18:00:00;3;Friday;1998-04-10;1998;4;Spring;10;18:00:00;18;0;15;4;False
1998-04-10 19:00:00;2;Friday;1998-04-10;1998;4;Spring;10;19:00:00;19;0;15;4;False
1998-04-10 20:00:00;3;Friday;1998-04-10;1998;4;Spring;10;20:00:00;20;0;15;4;False
1998-04-10 21:00:00;3;Friday;1998-04-10;1998;4;Spring;10;21:00:00;21;0;15;4;False
1998-04-10 22:00:00;3;Friday;1998-04-10;1998;4;Spring;10;22:00:00;22;0;15;4;False
1998-04-10 23:00:00;2;Friday;1998-04-10;1998;4;Spring;10;23:00:00;23;0;15;4;False
1998-04-11 00:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;00:00:00;0;0;15;5;False
1998-04-11 01:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;01:00:00;1;0;15;5;False
